Matricula,Nome,Sobrenome,Telefone,Email,Endereco,Sexo,Curso
10001,Bob,Rose,3-337-015-5247,Bob_Rose5320@twipet.com,"Rosewood Crossroad, 3726",M,Trigonometry
10002,Alan,Willson,0-288-172-5083,Alan_Willson4525@qater.org,"Lake Vale, 9921",M,Trigonometry
10003,Daron,Raven,1-245-184-0445,Daron_Raven3065@irrepsy.com,"Badric  Alley, 3813",M,Resource Program
10004,Mark,Bennett,2-540-346-3780,Mark_Bennett9315@liret.org,"Beaconsfield  Drive, 5007",M,Modern Literature
10005,Abdul,Walsh,4-361-360-5077,Abdul_Walsh24@extex.org,"Kimberley  Way, 9781",M,Language Arts
10006,Bryce,Sylvester,5-453-231-7573,Bryce_Sylvester5363@corti.com,"Ashley Street, 7891",F,Modern Literature
10007,Evelynn,Whitmore,7-128-203-4625,Evelynn_Whitmore9748@qater.org,"Bennett  Lane, 1133",F,American Literature
10008,Iris,Reese,4-844-413-1564,Iris_Reese1269@bulaffy.com,"Bigland  Tunnel, 3507",F,Handwriting
10009,Mike,Thornton,7-465-582-6184,Mike_Thornton7219@yahoo.com,"Linden Street, 8067",M,Accounting
10010,Daniel,Pratt,1-507-805-6210,Daniel_Pratt1564@gmail.com,"Erindale Avenue, 7454",M,LOGIC
10011,Barney,Rogers,4-703-750-4823,Barney_Rogers8619@yahoo.com,"Blendon    Lane, 5936",M,Accounting
10012,Johnathan,Tutton,7-745-656-0575,Johnathan_Tutton8245@hourpy.biz,"Cliffords  Crossroad, 669",M,Geography
10013,Ruth,Ianson,3-752-305-1113,Ruth_Ianson4020@mafthy.com,"Geary   Drive, 5977",F,Sociology
10014,Mark,Ogilvy,3-470-180-4254,Mark_Ogilvy1184@nimogy.biz,"Victoria Rise Drive, 8438",M,Basic Math
10015,Ethan,Waterson,3-623-107-4574,Ethan_Waterson2795@brety.org,"Ben   Route, 8056",M,American Literature
10016,Clint,Fleming,8-482-810-6573,Clint_Fleming1212@gompie.com,"Coborn  Pass, 5162",M,Art
10017,Peyton,Lindsay,5-687-855-0014,Peyton_Lindsay6563@twipet.com,"Queen Caroline   Vale, 3692",F,Basic Math
10018,Eve,Vane,0-811-175-2512,Eve_Vane2892@gompie.com,"Baltic  Walk, 9547",F,Latin
10019,Nick,Vane,4-674-255-1467,Nick_Vane4317@acrit.org,"Cockspur  Walk, 7991",M,Instrumental Music
10020,Doug,Bowen,3-023-613-3633,Doug_Bowen3357@extex.org,"South Tunnel, 3265",M,LOGIC
10021,Angela,Johnson,1-437-250-1617,Angela_Johnson4989@infotech44.tech,"Waite  Rue, 5723",F,Earth Science
10022,Elisabeth,Roscoe,7-230-314-4884,Elisabeth_Roscoe9632@vetan.org,"Hamilton  Avenue, 8575",F,Ecology
10023,Chadwick,Page ,8-157-025-6527,Chadwick_Page 7529@joiniaa.com,"Camdenhurst   Street, 9730",M,Spanish
10024,Vera,Wright,6-234-381-6507,Vera_Wright8758@irrepsy.com,"College  Alley, 8363",F,Basic Math
10025,Noah,Bailey,3-551-173-7650,Noah_Bailey8625@gompie.com,"Elystan  Drive, 1997",M,Health
10026,Jack,Gates,0-287-840-1455,Jack_Gates6054@infotech44.tech,"Camdenhurst   Way, 7797",M,German
10027,Belinda,Ingram,7-460-860-5854,Belinda_Ingram4716@nickia.com,"Anns  Route, 6150",F,History
10028,Wade,Bowen,2-042-563-3841,Wade_Bowen6036@gembat.biz,"Garfield Pass, 2420",M,Modern Literature
10029,Marie,Morris,4-801-201-1887,Marie_Morris5968@deons.tech,"Carnegie   Grove, 2863",F,Music
10030,Julian,Donovan,8-137-415-3424,Julian_Donovan2225@eirey.tech,"Glenwood Alley, 3633",M,Basic Math
10031,Chester,Oldfield,8-520-152-8068,Chester_Oldfield2793@twipet.com,"Parkgate  Walk, 7476",M,Instrumental Music
10032,Ryan,Ellis,4-633-783-8581,Ryan_Ellis5752@infotech44.tech,"Kinglake  Avenue, 559",M,English IV
10033,Johnny,Simmons,3-448-812-5748,Johnny_Simmons5769@irrepsy.com,"Thurloe   Lane, 8809",M,Music
10034,Chuck,London,4-766-252-6341,Chuck_London2482@gmail.com,"Wakley   Street, 8746",M,LOGIC
10035,Regina,Holt,6-418-445-1208,Regina_Holt3494@supunk.biz,"Blackall   Rue, 8016",F,Speech
10036,Liv,Dixon,4-072-026-0138,Liv_Dixon9299@brety.org,"Paris   Boulevard, 5564",F,Resource Program
10037,Julius,Addison,1-318-824-0121,Julius_Addison437@supunk.biz,"Bletchley   Route, 3541",M,Ancient Civilizations
10038,Leslie,Eastwood,0-503-512-2474,Leslie_Eastwood3182@joiniaa.com,"Burton  Way, 6428",F,Leadership
10039,Hank,Archer,0-167-338-1037,Hank_Archer8001@acrit.org,"Camley   Walk, 1602",M,Basic Math
10040,Maxwell,Ring,5-356-807-6221,Maxwell_Ring7047@liret.org,"Jackson Grove, 2776",M,Basic Math
10041,Domenic,Vaughn,4-364-017-4868,Domenic_Vaughn9816@sveldo.biz,"Bel   Walk, 1203",M,Mathematics
10042,Marilyn,Roberts,7-050-113-7802,Marilyn_Roberts8067@naiker.biz,"Wakley   Road, 8731",F,Design and technology
10043,Nicole,Plant,2-426-165-1384,Nicole_Plant2325@grannar.com,"Paris   Boulevard, 1798",F,Latin
10044,Melinda,Fenton,0-651-217-2843,Melinda_Fenton2191@jiman.org,"Rosewood Hill, 3022",F,Art
10045,Johnathan,Eddison,5-075-246-6788,Johnathan_Eddison4481@iatim.tech,"Babmaes    Walk, 6186",M,Instrumental Music
10046,Isabella,Waterson,3-400-216-7084,Isabella_Waterson8010@zorer.org,"Camelot   Rue, 8530",F,Geography
10047,Henry,Hopkins,1-446-517-6718,Henry_Hopkins8155@typill.biz,"Oxford Hill, 7437",M,Latin
10048,Chuck,Samuel,6-035-670-6866,Chuck_Samuel8054@acrit.org,"Virginia Road, 5622",M,Speech
10049,Adalie,Gilbert,2-748-021-0014,Adalie_Gilbert928@brety.org,"Elgood   Grove, 1161",F,Spanish
10050,Danny,Dallas,7-420-484-1222,Danny_Dallas323@iatim.tech,"Abbots   Street, 8284",M,Health
10051,Eduardo,Lewin,8-526-575-4165,Eduardo_Lewin2439@jiman.org,"Gate   Boulevard, 3210",M,Dramatics
10052,Benjamin,Brooks,6-710-182-2417,Benjamin_Brooks7644@jiman.org,"Bliss  Crossroad, 9421",M,Resource Program
10053,Anthony,Thorne,1-467-317-4601,Anthony_Thorne3103@brety.org,"Dunstable   Pass, 1244",M,Ecology
10054,Dalia,Lynch,5-574-034-3662,Dalia_Lynch6766@tonsy.org,"Birkenhead   Boulevard, 4784",F,Grammar
10055,Denny,Lucas,6-054-471-7531,Denny_Lucas6211@gompie.com,"Lonsdale  Lane, 8594",M,Basic Math
10056,Hazel,Robertson,0-285-463-5361,Hazel_Robertson9759@gmail.com,"Wadham  Avenue, 2659",F,Economics
